"Reference","Value","Mouser Price/Stock","Qty"
"R11","62k","https://www.mouser.co.uk/ProductDetail/YAGEO/RC1210FR-0762KL?qs=H6bTqIa4pvXpTu6n%252B%2FNlGA%3D%3D","1"
"R12","110k","https://www.mouser.co.uk/ProductDetail/YAGEO/RC1210FR-07110KL?qs=H6bTqIa4pvVTUx5WugF8mg%3D%3D","1"
"R13","200k","https://www.mouser.co.uk/ProductDetail/YAGEO/RC1210JR-07200KL?qs=CteSnpDdeuDthvIZoegoUw%3D%3D","1"
"R14","910k","https://www.mouser.co.uk/c/passive-components/resistors/film-resistors/thick-film-resistors-smd/?q=resistor%201210&case%20code%20-%20in=1210&m=YAGEO&resistance=910%20kOhms&termination%20style=SMD%2FSMT&sort=pricing","1"
"R16","52.3k","https://ro.mouser.com/ProductDetail/Panasonic/ERJ-14NF5232U?qs=nho8PGNfA6qGgoBnQlUYNQ%3D%3D","1"
"R18","100k","https://ro.mouser.com/c/?q=RC1210FR-07100KL","1"
"R21, R32","22","https://www.mouser.co.uk/ProductDetail/YAGEO/AC1210JR-0722RL?qs=9h0bZHM%2F3zJh6BccmgJFgA%3D%3D","2"
"R22, R23","5.1k","https://www.mouser.co.uk/ProductDetail/YAGEO/RC1210FR-075K1L?qs=H6bTqIa4pvX6KFbI5%252BKNQQ%3D%3D","2"
"R24, R25, R29, R30","10K","https://ro.mouser.com/ProductDetail/SEI-Stackpole/RMCF1210FT10K0?qs=FESYatJ8odLSM832du%2FSXw%3D%3D","4"
"R26","22.1k","https://ro.mouser.com/ProductDetail/Vishay-Dale/CRCW121022K1FKEA?qs=grCzdrupEeFjmAghhFVXQQ%3D%3D","1"
"R27","47.5k","https://ro.mouser.com/ProductDetail/Vishay-Dale/CRCW121047K5FKEA?qs=sGAEpiMZZMtlubZbdhIBILrV%2FxLoFE73faxYwIe1Z3k%3D","1"
"R33, R34","1.5k","https://www.mouser.co.uk/ProductDetail/YAGEO/RC1210JR-071K5L?qs=6sj9KdP9sviSuJXf5F9TBg%3D%3D","2"
"R35, R37","68k","-- mixed values --","2"
"R39","120","https://www.mouser.co.uk/ProductDetail/YAGEO/RC1210JR-13120RL?qs=qpJ%252B%252B%252Bdg6p3wDlUWdPJ5VQ%3D%3D","1"
"RXD0, RXD1","TestPoint","","2"
"S2","56DP30-01-1-AJN","https://www.mouser.co.uk/ProductDetail/Grayhill/56DP30-01-1-AJN?qs=ls7QRyWmRk4hkEWp7Raugg%3D%3D","1"
"SC1","SW_Push","","1"
"SCL1","TestPoint","","1"
"SDA1","TestPoint","","1"
"SN_CH1","SolderJumper_2_Open","","1"
"SN_CL1","SolderJumper_2_Open","","1"
"SN_CRX1","SolderJumper_2_Open","","1"
"SN_CTX1","SolderJumper_2_Open","","1"
"STRIP_LED1","Conn_01x04_Pin","https://www.mouser.co.uk/ProductDetail/Harwin/M20-9992046?qs=%252Bk6%2F5FB6qrkVgm0dNoxueg%3D%3D","1"
"SW5, SW6","boot_button","https://ro.mouser.com/ProductDetail/CK/PTS636-SK25-SMTR-LFS?qs=vLWxofP3U2wQKecmu1U%2FMA%3D%3D","2"
"S_ENG1","SW_Push","","1"
"TXD0, TXD1","TestPoint","","2"
"U1","SN65HVD230","https://eu.mouser.com/ProductDetail/Texas-Instruments/SN65HVD230DR?qs=QViXGNcIEAtifeQR3pYVUQ%3D%3D","1"
"U2","ESP32-WROOM-32","https://ro.mouser.com/ProductDetail/Espressif-Systems/ESP32-WROOM-32E-H4?qs=Li%252BoUPsLEnuUxeqGSCz%252BcA%3D%3D","1"
"U3","CP2102-GMR","https://ro.mouser.com/ProductDetail/Silicon-Labs/CP2102-GMR?qs=cNyzPCcHMUWu%2FiPhR8KQAw%3D%3D","1"
"U4","MPU-6050","https://www.mouser.co.uk/ProductDetail/TDK-InvenSense/MPU-6050?qs=u4fy%2FsgLU9O14B5JgyQFvg%3D%3D","1"
"U5","MIC29301","","1"
"VENT1","SW_Push","","1"
